CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1302|	Feria de Artesanías de Otavalo|
1302|	Baños de Agua Santa|
1302|	Otavalo|
1302|	Baños|
1303|	Bolívar|
1303|	Guaranda |
1304|	Bolívar|
1304|	Guaranda |
1305|	Napo|
1305|	Tena|
1305|	Tungurahua|
1305|	Baños de Agua Santa|
1305|	Baños|
1306|	Galápagos|
1306|	Puerto Baquerizo Moreno (Ciudad9|
1306|	Puerto Ayora|
1306|	Puerto Villamil|
1307|	Napo|
1307|	Tena|
1308|	Imbabura|
1308|	Pichincha|
1308|	Cotacachi|
1308|	Otavalo|
1308|	Cayambe|
1308|	Tabacundo|
1309|	Pichincha|
1309|	Quito |
1310|	Pichincha|
1310|	Quito |
1311|	Pichincha|
1311|	Quito |
1312|	Tungurahua|
1312|	Baños|
1313|	Pichincha|
1313|	Quito |
1314|	Pichincha|
1314|	Quito |
1315|	Pichincha|
1315|	Quito |
1316|	Imbabura|
1316|	Pichincha|
1316|	Cotacachi|
1316|	Otavalo|
1316|	Cayambe|
1316|	Tabacundo|
1317|	Cotopaxi|
1317|	Latacunga|
1317|	Pujilí|
1318|	Pichincha|
1318|	Quito |
1319|	Azuay|
1319|	Chimborazo|
1319|	Pichincha|
1319|	Tungurahua|
1319|	Cuenca|
1319|	Alausí|
1319|	Quito |
1319|	Baños|
1320|	Galápagos|
1320|	Islas Galápagos|
1320|	Puerto Ayora|
1320|	Puerto Villamil|
1321|	Pichincha|
1321|	Quito |
1322|	Sucumbíos|
1322|	Nueva Loja|
1323|	Galápagos|
1323|	Puerto Ayora|
1323|	Puerto Villamil|
1324|	Tungurahua|
1324|	Baños|
1325|	Guayas|
1325|	Guayaquil |
1326|	Guayas|
1326|	Guayaquil |
1327|	Guayas|
1327|	Islas Galápagos|
1327|	Guayaquil |
1328|	Galápagos|
1328|	Estación Científica Charles Darwin|
1328|	Puerto Ayora|
1329|	Galápagos|
1329|	Puerto Ayora|
1329|	Puerto Villamil|
1330|	Pichincha|
1330|	Quito |
1331|	Galápagos|
1331|	Puerto Baquerizo Moreno |
1332|	Galápagos|
1332|	Puerto Ayora|
1333|	Galápagos|
1333|	Puerto Ayora|
1333|	Puerto Baquerizo Moreno |
1333|	Puerto Villamil|
1334|	Galápagos|
1334|	Islas Galápagos|
1334|	Puerto Ayora|
1335|	Pichincha|
1335|	Reserva de Producción Faunística Cuyabeno|
1335|	Quito |
1336|	Cotopaxi|
1336|	Saquisilí|
1337|	Galápagos|
1337|	Estación Científica Charles Darwin|
1337|	Puerto Ayora|
1338|	Guayas|
1338|	Guayaquil |
1339|	Pichincha|
1339|	Quito |
1340|	Carchi|
1340|	Imbabura|
1340|	Pichincha|
1340|	El Ángel|
1340|	Ibarra|
1340|	Otavalo|
1340|	Quito |
1341|	Galápagos|
1341|	Puerto Ayora|
1341|	Puerto Baquerizo Moreno |
1342|	Cotopaxi|
1342|	Latacunga|
1343|	Cotopaxi|
1343|	Sigchos|
1343|	Pichincha|
1343|	Latacunga|
1343|	Machachi|
1343|	Laguna de Quilotoa|
1344|	Galápagos|
1344|	Puerto Ayora|
1344|	Puerto Villamil|
1345|	Chimborazo|
1345|	Riobamba|
1346|	Pichincha|
1346|	Quito |
1347|	Pichincha|
1347|	Quito |
1348|	Pichincha|
1348|	Quito |
