CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1440|	Andalucía|
1440|	Granada|
1441|	Extremadura|
1441|	Cáceres|
1442|	Andalucía|
1442|	Granada|
1443|	Andalucía|
1443|	Granada|
1444|	Andalucía|
1444|	Granada|
1445|	Aragón|
1445|	Castilla - La Mancha|
1445|	Cataluña|
1445|	Madrid|
1445|	Zaragoza|
1445|	Toledo|
1445|	Barcelona|
1445|	Tarragona|
1449|	Andalucía|
1449|	Almería|
1450|	Andalucía|
1450|	Almería|
1451|	Andalucía|
1451|	Almería|
1452|	Extremadura|
1452|	Badajoz|
1453|	Asturias|
1453|	Cantabria|
1453|	Galicia|
1453|	País Vasco|
1453|	Santander|
1453|	La Coruña|
1453|	Lugo|
1453|	Pontevedra|
1453|	Oviedo|
1453|	Bilbao|
1453|	Santiago de Compostela|
1453|	Gijón|
1454|	Andalucía|
1454|	Córdoba|
1455|	Andalucía|
1455|	Aragón|
1455|	Cataluña|
1455|	Madrid|
1455|	Valencia|
1455|	Córdoba|
1455|	Granada|
1455|	Sevilla|
1455|	Zaragoza|
1455|	Barcelona|
1456|	Canarias|
1456|	Lanzarote|
1457|	Castilla - León|
1457|	León|
1458|	Valencia|
1459|	Valencia|
1460|	Valencia|
1461|	Valencia|
1462|	Castilla - La Mancha|
1462|	Toledo|
1463|	Castilla - León|
1463|	Segovia|
1464|	Castilla - La Mancha|
1464|	Toledo|
1465|	Madrid|
1466|	Madrid|
1467|	Cantabria|
1467|	Santander|
1468|	Cantabria|
1468|	Santander|
1469|	Cantabria|
1469|	Santander|
1470|	Andalucía|
1470|	Ronda|
1471|	Andalucía|
1471|	Mojácar|
1472|	Madrid|
1473|	Valencia|
1474|	Madrid|
1475|	Valencia|
1476|	Madrid|
1477|	Madrid|
1478|	Madrid|
1479|	Galicia|
1479|	Santiago de Compostela|
1480|	Galicia|
1480|	Santiago de Compostela|
1481|	Cataluña|
1481|	Barcelona|
1481|	Gerona|
1482|	Cataluña|
1482|	Barcelona|
1482|	Gerona|
1483|	Valencia|
1484|	Valencia|
1485|	Valencia|
1486|	Valencia|
1487|	Valencia|
1488|	Cataluña|
1488|	Barcelona|
1489|	Andalucía|
1489|	Sevilla|
1490|	Madrid|
1491|	Galicia|
1491|	Santiago de Compostela|
1492|	Canarias|
1492|	Playa Blanca|
1493|	Galicia|
1493|	Santiago de Compostela|
1494|	Castilla - León|
1494|	León|
1495|	Castilla - León|
1495|	León|
1496|	Galicia|
1496|	Santiago de Compostela|
1497|	Islas Baleares|
1497|	Ibiza|
1498|	Castilla - León|
1498|	Salamanca|
1499|	Extremadura|
1499|	Cáceres|
1500|	Galicia|
1500|	Santiago de Compostela|
1501|	Castilla - León|
1501|	Salamanca|
1502|	Castilla - León|
1502|	Salamanca|
1503|	Castilla - León|
1503|	Salamanca|
1504|	País Vasco|
1504|	Bilbao|
1505|	Castilla - León|
1505|	Salamanca|
1506|	Castilla - León|
1506|	Salamanca|
1507|	Castilla - León|
1507|	Ciudad Rodrigo|
1508|	Andalucía|
1508|	Sevilla|
1509|	Andalucía|
1509|	Granada|
1510|	Madrid|
1512|	Andalucía|
1512|	Sevilla|
1513|	Andalucía|
1513|	Sevilla|
1514|	Andalucía|
1514|	Sevilla|
1515|	Madrid|
1516|	Madrid|
1517|	Andalucía|
1517|	Granada|
1518|	Andalucía|
1518|	Málaga|
