CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
219|	Manizales|
220|	Bolívar|
220|	Cartagena de Indias|
221|	Cundinamarca|
221|	Guatavita|
222|	Cundinamarca|
222|	Guatavita|
223|	Cundinamarca|
223|	Guatavita|
224|	Cundinamarca|
224|	Villapinzón|
225|	Caldas|
225|	La Dorada|
226|	Magdalena|
226|	Santa Marta|
227|	Bolívar|
227|	Cartagena de Indias|
228|	Bolívar|
228|	Cartagena de Indias|
229|	Bolívar|
229|	Cartagena de Indias|
230|	Magdalena|
230|	Santa Marta|
231|	Magdalena|
231|	Santa Marta|
232|	Magdalena|
232|	Santa Marta|
233|	Magdalena|
233|	Santa Marta|
234|	Magdalena|
234|	Santa Marta|
235|	Magdalena|
235|	Santa Marta|
236|	César|
236|	Valledupar|
236|	La Guajira|
236|	Magdalena|
236|	Santa Marta|
236|	La Jagua Del Pilar|
237|	Meta|
237|	Villavicencio|
238|	Antioquía|
238|	Marinilla|
238|	Guatape|
238|	Peñol|
239|	Magdalena|
239|	Santa Marta|
240|	Bogotá|
240|	Bogotá D.C.|
241|	Cundinamarca|
241|	Guatavita|
242|	Quindio|
242|	Armenia|
242|	Montenegro|
242|	Quimbaya|
243|	Antioquía|
243|	Medellín|
244|	Antioquía|
244|	Guatape|
244|	Peñol|
245|	Antioquía|
245|	San Jerónimo|
245|	Santa Fe De Antioquía|
246|	Antioquía|
246|	Hispania|
246|	Jardín|
247|	Santander|
247|	San Gil|
248|	Bolívar|
248|	Cartagena de Indias|
249|	Quindio|
249|	Filandia|
249|	Salento|
249|	Quimbaya|
252|	Bogotá|
252|	Bogotá D.C.|
253|	Quindio|
253|	Armenia|
255|	Bogotá|
255|	Bogotá D.C.|
258|	Magdalena|
258|	Santa Marta|
259|	La Guajira|
259|	Riohacha|
260|	Magdalena|
260|	Santa Marta|
261|	Antioquía|
261|	Magdalena|
261|	Santa Marta|
261|	Yondó|
262|	Magdalena|
262|	Santa Marta|
264|	Quindio|
264|	Buenavista|
264|	Cordoba |
264|	Pijao|
265|	Risaralda|
265|	Pereira|
265|	Pueblo Rico|
275|	Huila|
275|	Neiva|
289|	La Guajira|
289|	Riohacha|
289|	Uribia|
290|	Magdalena|
290|	Santa Marta|
291|	La Guajira|
291|	Riohacha|
291|	Uribia|
292|	Bolívar|
292|	Cartagena de Indias|
293|	Guaviare|
293|	San José De Guaviare|
294|	Magdalena|
294|	Santa Marta|
295|	Amazonas|
295|	Leticia|
296|	Magdalena|
296|	Santa Marta|
297|	Magdalena|
297|	Santa Marta|
298|	Quindio|
298|	Filandia|
298|	Quimbaya|
299|	Cundinamarca|
299|	Ricaurte|
300|	Magdalena|
300|	Santa Marta|
301|	Guaviare|
301|	San José De Guaviare|
302|	Bogotá|
302|	Bogotá D.C.|
303|	Bogotá|
303|	Bogotá D.C.|
304|	Quindio|
304|	Armenia|
304|	Salento|
305|	Sucre|
305|	Coveñas|
306|	Huila|
306|	Neiva|
307|	Putumayo|
307|	Mocoa|
308|	Putumayo|
308|	Mocoa|
309|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
309|	San Andrés|
312|	Quindio|
