CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
2250|	Tlaxcala (Tlaxcala de Xicotencatl)|
2251|	Ciudad De México|
2251|	Tlaxcala|
2251|	Tlaxcala (Tlaxcala de Xicotencatl)|
2252|	Puebla|
2252|	Tlaxcala|
2252|	Zacatlán|
2252|	Calpulalpan|
2252|	Tlaxcala (Tlaxcala de Xicotencatl)|
2253|	Veracruz De Ignacio De La Llave|
2253|	Coatepec|
2253|	Xalapa-Enríquez|
2254|	Oaxaca|
2255|	San Luis Potosí|
2255|	Ciudad Valles|
2256|	Chiapas|
2256|	Tuxtla Gutiérrez|
2257|	Yucatán|
2257|	Mérida|
2258|	Chiapas|
2258|	San Cristóbal de las Casas|
2258|	Tuxtla Gutiérrez|
2259|	Chiapas|
2259|	Palenque|
2259|	San Cristóbal de las Casas|
2259|	Tuxtla Gutiérrez|
2260|	Chiapas|
2260|	San Cristóbal de las Casas|
2260|	Tuxtla Gutiérrez|
2261|	Chiapas|
2261|	San Cristóbal de las Casas|
2261|	Tuxtla Gutiérrez|
2262|	Chiapas|
2262|	Tuxtla Gutiérrez|
2263|	Chiapas|
2263|	Tuxtla Gutiérrez|
2264|	Chiapas|
2264|	Tuxtla Gutiérrez|
2265|	Chiapas|
2265|	Tuxtla Gutiérrez|
2266|	Tlaxcala|
2266|	Tlaxcala (Tlaxcala de Xicotencatl)|
2267|	Tlaxcala|
2267|	Calpulalpan|
2268|	Querétaro|
2268|	Peña de Bernal|
2269|	Tlaxcala|
2269|	Tlaxcala (Tlaxcala de Xicotencatl)|
2270|	México|
2270|	Valle de Bravo|
2271|	México|
2271|	Valle de Bravo|
2272|	México|
2272|	Valle de Bravo|
2273|	México|
2273|	Valle de Bravo|
2274|	México|
2274|	Valle de Bravo|
2275|	México|
2275|	Valle de Bravo|
2276|	México|
2276|	Valle de Bravo|
2277|	México|
2277|	Valle de Bravo|
2278|	México|
2278|	Valle de Bravo|
2279|	México|
2279|	Valle de Bravo|
2280|	México|
2280|	Valle de Bravo|
2281|	México|
2281|	Valle de Bravo|
2282|	México|
2282|	Valle de Bravo|
2283|	México|
2283|	Valle de Bravo|
2284|	México|
2284|	Valle de Bravo|
2285|	Quintana Roo|
2285|	Cancún|
2285|	Playa del Carmen|
2285|	Tulum|
2286|	Quintana Roo|
2286|	Cancún|
2286|	Holbox|
2287|	Oaxaca|
2287|	Santa María Huatulco|
2288|	Morelos|
2288|	Tequesquitengo|
2289|	Guerrero|
2289|	Morelos|
2289|	Taxco de Alarcón|
2289|	Tequesquitengo|
2290|	Morelos|
2290|	Cuernavaca|
2290|	Tepoztlán|
2291|	Quintana Roo|
2291|	Cancún|
2292|	Oaxaca|
2292|	Huatulco|
2293|	Quintana Roo|
2293|	Cancún|
2294|	Quintana Roo|
2294|	Cancún|
2295|	Quintana Roo|
2295|	Cancún|
2296|	Quintana Roo|
2296|	Cancún|
2297|	Quintana Roo|
2297|	Cancún|
2298|	Quintana Roo|
2298|	Cancún|
2299|	Oaxaca|
2299|	Huatulco|
2300|	Oaxaca|
2300|	Huatulco|
2301|	Chihuahua|
2301|	Creel|
2302|	Ciudad De México|
2302|	Querétaro|
2302|	Peña de Bernal|
2303|	Campeche|
2303|	Ciudad De México|
2303|	Quintana Roo|
2303|	Yucatán|
2303|	San Francisco de Campeche|
2303|	Cancún|
2303|	Isla Mujeres|
2303|	Mérida|
2303|	Holbox|
2304|	San Luis Potosí|
2304|	Ciudad Valles|
2305|	Oaxaca|
2305|	Puerto Escondido|
2306|	Oaxaca|
2306|	Puerto Escondido|
2307|	Oaxaca|
2307|	Puerto Escondido|
2308|	Ciudad De México|
2308|	México|
2308|	San Juan Teotihuacan |
